OrderID,OrderDate,CustomerID,Product,Category,Quantity,Price,TotalAmount,PaymentMode,DeliveryStatus,DeliveryDate,
1001,6/1/2025,C101,Echo Dot,Electronics,1,4499,4499,Card,Delivered,6/3/2025,
1002,6/2/2025,C102,Fire Stick,Electronics,2,2999,5998,UPI,Cancelled,,
1003,6/3/2025,C101,Organic Tea,Grocery,3,250,750,Wallet,Delivered,6/5/2025,
1004,6/4/2025,C103,Kindle,Books,1,9999,9999,Card,Returned,6/6/2025,
1005,6/5/2025,C104,Protein Bars,Grocery,4,180,720,COD,Delivered,6/7/2025,
1006,6/6/2025,C105,Echo Show,Electronics,1,8999,8999,UPI,Delivered,6/9/2025,
1007,6/7/2025,C106,Phone Charger,Electronics,2,699,1398,Wallet,Delivered,6/10/2025,
1008,6/8/2025,C101,Herbal Shampoo,Personal Care,2,399,798,Card,Delivered,6/10/2025,
1009,6/9/2025,C102,Notebook Set,Stationery,5,99,495,COD,Delivered,6/11/2025,
1010,6/10/2025,C107,Detergent,Grocery,1,299,299,Wallet,Cancelled,,
1011,6/11/2025,C108,Smart Plug,Electronics,1,999,999,Card,Delivered,6/13/2025,
1012,6/12/2025,C109,Pen Set,Stationery,2,150,300,UPI,Delivered,6/14/2025,
1013,6/13/2025,C110,Face Wash,Personal Care,3,249,747,Wallet,In Transit,,
1014,6/14/2025,C103,Hair Oil,Personal Care,1,199,199,Card,Delivered,6/16/2025,
1015,6/15/2025,C111,Bluetooth Speaker,Electronics,1,2499,2499,COD,Delivered,6/17/2025,
